Mod:Item:MetaData, Localized Name
forestry:smoker, Дымарь
forestry:apiary:0, Пасека
forestry:bee_house:0, Пчелиный домик
forestry:bee_chest:0, Сундук пчеловода
forestry:beehives:0, Лесной улей
forestry:beehives:1, Луговой улей
forestry:beehives:2, Пустынный улей
forestry:beehives:3, Тропический улей
forestry:beehives:4, Драконий улей
forestry:beehives:5, Снежный улей
forestry:beehives:6, Болотный улей
forestry:candle:0, Тёмная свеча
forestry:stump:0, Потухшая свеча
forestry:bee_combs_0:0, Блок медовых сот
forestry:bee_combs_0:2, Блок кипящих сот
forestry:bee_combs_0:3, Блок вязких сот
forestry:bee_combs_0:4, Блок морозных сот
forestry:bee_combs_0:5, Блок капающих сот
forestry:bee_combs_0:6, Блок шелковистых сот
forestry:bee_combs_0:7, Блок пересохших сот
forestry:bee_combs_0:15, Блок замшелых сот
forestry:bee_combs_1:0, Блок спелых сот
forestry:alveary.plain:0, Пчелиный улей
forestry:alveary.swarmer:0, Роевня
forestry:alveary.fan:0, Вентилятор улья
forestry:alveary.heater:0, Обогреватель улья
forestry:alveary.hygro:0, Кондиционер улья
forestry:alveary.stabiliser:0, Стабилизатор улья
forestry:alveary.sieve:0, Сито улья
forestry:apiarist_bag, Рюкзак пчеловода
forestry:lepidopterist_bag, Рюкзак лепидоптеролога
forestry:miner_bag, Рюкзак шахтёра
forestry:miner_bag_t2, Тканый рюкзак шахтёра
forestry:digger_bag, Рюкзак землекопа
forestry:digger_bag_t2, Тканый рюкзак землекопа
forestry:forester_bag, Рюкзак лесника
forestry:forester_bag_t2, Тканый рюкзак лесника
forestry:hunter_bag, Рюкзак охотника
forestry:hunter_bag_t2, Тканый рюкзак охотника
forestry:adventurer_bag, Рюкзак авантюриста
forestry:adventurer_bag_t2, Тканый рюкзак авантюриста
forestry:builder_bag, Рюкзак строителя
forestry:builder_bag_t2, Тканый рюкзак строителя
forestry:genetic_filter:0, Genetic Filter
forestry:stamps:0, Почтовая марка (1n)
forestry:stamps:1, Почтовая марка (2n)
forestry:stamps:2, Почтовая марка (5n)
forestry:stamps:3, Почтовая марка (10n)
forestry:stamps:4, Почтовая марка (20n)
forestry:stamps:5, Почтовая марка (50n)
forestry:stamps:6, Почтовая марка (100n)
forestry:letters, Письмо
forestry:catalogue, Каталог
forestry:mailbox:0, Почтовый ящик
forestry:trade_station:0, Торговая станция
forestry:stamp_collector:0, Сборщик марок
forestry:worktable:0, Рабочий стол
forestry:fluid.bio.ethanol, Этанол
forestry:fluid.biomass, Биомасса
forestry:fluid.glass, Жидкое стекло
forestry:fluid.for.honey, Мёд
forestry:fluid.ice, Молотый лёд
forestry:fluid.juice, Фруктовый сок
forestry:fluid.milk, Молоко
forestry:fluid.seed.oil, Растительное масло
forestry:fluid.short.mead, Питный мёд
forestry:can, item.for.can.name
forestry:capsule, item.for.capsule.name
forestry:refractory, item.for.refractory.name
forestry:grafter, Садовый нож
forestry:grafter_proven, Проверенный садовый нож
forestry:logs.0:0, Древесина лиственницы
forestry:logs.0:1, Древесина тикового дерева
forestry:logs.0:2, Древесина акации
forestry:logs.0:3, Древесина липы
forestry:logs.1:0, Древесина каштана
forestry:logs.1:1, Древесина дерева Венге
forestry:logs.1:2, Древесина баобаба
forestry:logs.1:3, Древесина секвойи
forestry:logs.2:0, Древесина хлопкового дерева
forestry:logs.2:1, Древесина мирта
forestry:logs.2:2, Древесина красного дерева
forestry:logs.2:3, Древесина бальзы
forestry:logs.3:0, Древесина ивы
forestry:logs.3:1, Древесина орехового дерева
forestry:logs.3:2, Древесина гринхарта
forestry:logs.3:3, Древесина вишнёвого дерева
forestry:logs.4:0, Древесина гибискуса
forestry:logs.4:1, Древесина тополя
forestry:logs.4:2, Древесина пальмы
forestry:logs.4:3, Древесина дынного дерева
forestry:logs.5:0, Древесина сосны
forestry:logs.5:1, Древесина сливового дерева
forestry:logs.5:2, Древесина клёна
forestry:logs.5:3, Древесина цитрусового дерева
forestry:logs.6:0, Древесина гигантской секвойи
forestry:logs.6:1, Древесина муравьиного дерева
forestry:logs.6:2, Древесина падука
forestry:logs.6:3, Древесина кокоболо
forestry:logs.7:0, Древесина зебрано
forestry:logs.fireproof.0:0, Древесина лиственницы (Огнеупор.)
forestry:logs.fireproof.0:1, Древесина тикового дерева (Огнеупор.)
forestry:logs.fireproof.0:2, Древесина акации (Огнеупор.)
forestry:logs.fireproof.0:3, Древесина липы (Огнеупор.)
forestry:logs.fireproof.1:0, Древесина каштана (Огнеупор.)
forestry:logs.fireproof.1:1, Древесина дерева Венге (Огнеупор.)
forestry:logs.fireproof.1:2, Древесина баобаба (Огнеупор.)
forestry:logs.fireproof.1:3, Древесина секвойи (Огнеупор.)
forestry:logs.fireproof.2:0, Древесина хлопкового дерева (Огнеупор.)
forestry:logs.fireproof.2:1, Древесина мирта (Огнеупор.)
forestry:logs.fireproof.2:2, Древесина красного дерева (Огнеупор.)
forestry:logs.fireproof.2:3, Древесина бальзы (Огнеупор.)
forestry:logs.fireproof.3:0, Древесина ивы (Огнеупор.)
forestry:logs.fireproof.3:1, Древесина орехового дерева (Огнеупор.)
forestry:logs.fireproof.3:2, Древесина гринхарта (Огнеупор.)
forestry:logs.fireproof.3:3, Древесина вишнёвого дерева (Огнеупор.)
forestry:logs.fireproof.4:0, Древесина гибискуса (Огнеупор.)
forestry:logs.fireproof.4:1, Древесина тополя (Огнеупор.)
forestry:logs.fireproof.4:2, Древесина пальмы (Огнеупор.)
forestry:logs.fireproof.4:3, Древесина дынного дерева (Огнеупор.)
forestry:logs.fireproof.5:0, Древесина сосны (Огнеупор.)
forestry:logs.fireproof.5:1, Древесина сливового дерева (Огнеупор.)
forestry:logs.fireproof.5:2, Древесина клёна (Огнеупор.)
forestry:logs.fireproof.5:3, Древесина цитрусового дерева (Огнеупор.)
forestry:logs.fireproof.6:0, Древесина гигантской секвойи (Огнеупор.)
forestry:logs.fireproof.6:1, Древесина муравьиного дерева (Огнеупор.)
forestry:logs.fireproof.6:2, Древесина падука (Огнеупор.)
forestry:logs.fireproof.6:3, Древесина кокоболо (Огнеупор.)
forestry:logs.fireproof.7:0, Древесина зебрано (Огнеупор.)
forestry:logs.vanilla.fireproof.0:0, Дуб (Огнеупор.)
forestry:logs.vanilla.fireproof.0:1, Ель (Огнеупор.)
forestry:logs.vanilla.fireproof.0:2, Берёза (Огнеупор.)
forestry:logs.vanilla.fireproof.0:3, Тропическое дерево (Огнеупор.)
forestry:logs.vanilla.fireproof.1:0, Акация (Огнеупор.)
forestry:logs.vanilla.fireproof.1:1, Тёмный дуб (Огнеупор.)
forestry:planks.0:0, Доски из лиственницы
forestry:planks.0:1, Доски из тикового дерева
forestry:planks.0:2, Доски из акации
forestry:planks.0:3, Доски из липы
forestry:planks.0:4, Доски из каштана
forestry:planks.0:5, Доски из дерева Венге
forestry:planks.0:6, Доски из баобаба
forestry:planks.0:7, Доски из секвойи
forestry:planks.0:8, Доски из хлопкового дерева
forestry:planks.0:9, Доски из мирта
forestry:planks.0:10, Доски из красного дерева
forestry:planks.0:11, Доски из бальзы
forestry:planks.0:12, Доски из ивы
forestry:planks.0:13, Доски из орехового дерева
forestry:planks.0:14, Доски из гринхарта
forestry:planks.0:15, Доски из вишнёвого дерева
forestry:planks.1:0, Доски из гибискуса
forestry:planks.1:1, Доски из тополя
forestry:planks.1:2, Доски из пальмы
forestry:planks.1:3, Доски из дынного дерева
forestry:planks.1:4, Доски из сосны
forestry:planks.1:5, Доски из сливового дерева
forestry:planks.1:6, Доски из клёна
forestry:planks.1:7, Доски из цитрусового дерева
forestry:planks.1:8, Доски из гигантской секвойи
forestry:planks.1:9, Доски из муравьиного дерева
forestry:planks.1:10, Доски из падука
forestry:planks.1:11, Доски из кокоболо
forestry:planks.1:12, Доски из зебрано
forestry:planks.fireproof.0:0, Доски из лиственницы (Огнеупор.)
forestry:planks.fireproof.0:1, Доски из тикового дерева (Огнеупор.)
forestry:planks.fireproof.0:2, Доски из акации (Огнеупор.)
forestry:planks.fireproof.0:3, Доски из липы (Огнеупор.)
forestry:planks.fireproof.0:4, Доски из каштана (Огнеупор.)
forestry:planks.fireproof.0:5, Доски из дерева Венге (Огнеупор.)
forestry:planks.fireproof.0:6, Доски из баобаба (Огнеупор.)
forestry:planks.fireproof.0:7, Доски из секвойи (Огнеупор.)
forestry:planks.fireproof.0:8, Доски из хлопкового дерева (Огнеупор.)
forestry:planks.fireproof.0:9, Доски из мирта (Огнеупор.)
forestry:planks.fireproof.0:10, Доски из красного дерева (Огнеупор.)
forestry:planks.fireproof.0:11, Доски из бальзы (Огнеупор.)
forestry:planks.fireproof.0:12, Доски из ивы (Огнеупор.)
forestry:planks.fireproof.0:13, Доски из орехового дерева (Огнеупор.)
forestry:planks.fireproof.0:14, Доски из гринхарта (Огнеупор.)
forestry:planks.fireproof.0:15, Доски из вишнёвого дерева (Огнеупор.)
forestry:planks.fireproof.1:0, Доски из гибискуса (Огнеупор.)
forestry:planks.fireproof.1:1, Доски из тополя (Огнеупор.)
forestry:planks.fireproof.1:2, Доски из пальмы (Огнеупор.)
forestry:planks.fireproof.1:3, Доски из дынного дерева (Огнеупор.)
forestry:planks.fireproof.1:4, Доски из сосны (Огнеупор.)
forestry:planks.fireproof.1:5, Доски из сливового дерева (Огнеупор.)
forestry:planks.fireproof.1:6, Доски из клёна (Огнеупор.)
forestry:planks.fireproof.1:7, Доски из цитрусового дерева (Огнеупор.)
forestry:planks.fireproof.1:8, Доски из гигантской секвойи (Огнеупор.)
forestry:planks.fireproof.1:9, Доски из муравьиного дерева (Огнеупор.)
forestry:planks.fireproof.1:10, Доски из падука (Огнеупор.)
forestry:planks.fireproof.1:11, Доски из кокоболо (Огнеупор.)
forestry:planks.fireproof.1:12, Доски из зебрано (Огнеупор.)
forestry:planks.vanilla.fireproof.0:0, Дубовые доски (Огнеупор.)
forestry:planks.vanilla.fireproof.0:1, Еловые доски (Огнеупор.)
forestry:planks.vanilla.fireproof.0:2, Берёзовые доски (Огнеупор.)
forestry:planks.vanilla.fireproof.0:3, Доски из тропического дерева (Огнеупор.)
forestry:planks.vanilla.fireproof.0:4, Акациевые доски (Огнеупор.)
forestry:planks.vanilla.fireproof.0:5, Доски из тёмного дуба (Огнеупор.)
forestry:slabs.0:0, Плита из лиственницы
forestry:slabs.0:1, Плита из тикового дерева
forestry:slabs.0:2, Плита из акации
forestry:slabs.0:3, Плита из липы
forestry:slabs.0:4, Плита из каштана
forestry:slabs.0:5, Плита из дерева Венге
forestry:slabs.0:6, Плита из баобаба
forestry:slabs.0:7, Плита из секвойи
forestry:slabs.1:0, Плита из хлопкового дерева
forestry:slabs.1:1, Плита из мирта
forestry:slabs.1:2, Плита из красного дерева
forestry:slabs.1:3, Плита из бальзы
forestry:slabs.1:4, Плита из ивы
forestry:slabs.1:5, Плита из орехового дерева
forestry:slabs.1:6, Плита из гринхарта
forestry:slabs.1:7, Плита из вишнёвого дерева
forestry:slabs.2:0, Плита из гибискуса
forestry:slabs.2:1, Плита из тополя
forestry:slabs.2:2, Плита из пальмы
forestry:slabs.2:3, Плита из дынного дерева
forestry:slabs.2:4, Плита из сосны
forestry:slabs.2:5, Плита из сливового дерева
forestry:slabs.2:6, Плита из клёна
forestry:slabs.2:7, Плита из цитрусового дерева
forestry:slabs.3:0, Плита из гигантской секвойи
forestry:slabs.3:1, Плита из муравьиного дерева
forestry:slabs.3:2, Плита из падука
forestry:slabs.3:3, Плита из кокоболо
forestry:slabs.3:4, Плита из зебрано
forestry:slabs.fireproof.0:0, Плита из лиственницы (Огнеупор.)
forestry:slabs.fireproof.0:1, Плита из тикового дерева (Огнеупор.)
forestry:slabs.fireproof.0:2, Плита из акации (Огнеупор.)
forestry:slabs.fireproof.0:3, Плита из липы (Огнеупор.)
forestry:slabs.fireproof.0:4, Плита из каштана (Огнеупор.)
forestry:slabs.fireproof.0:5, Плита из дерева Венге (Огнеупор.)
forestry:slabs.fireproof.0:6, Плита из баобаба (Огнеупор.)
forestry:slabs.fireproof.0:7, Плита из секвойи (Огнеупор.)
forestry:slabs.fireproof.1:0, Плита из хлопкового дерева (Огнеупор.)
forestry:slabs.fireproof.1:1, Плита из мирта (Огнеупор.)
forestry:slabs.fireproof.1:2, Плита из красного дерева (Огнеупор.)
forestry:slabs.fireproof.1:3, Плита из бальзы (Огнеупор.)
forestry:slabs.fireproof.1:4, Плита из ивы (Огнеупор.)
forestry:slabs.fireproof.1:5, Плита из орехового дерева (Огнеупор.)
forestry:slabs.fireproof.1:6, Плита из гринхарта (Огнеупор.)
forestry:slabs.fireproof.1:7, Плита из вишнёвого дерева (Огнеупор.)
forestry:slabs.fireproof.2:0, Плита из гибискуса (Огнеупор.)
forestry:slabs.fireproof.2:1, Плита из тополя (Огнеупор.)
forestry:slabs.fireproof.2:2, Плита из пальмы (Огнеупор.)
forestry:slabs.fireproof.2:3, Плита из дынного дерева (Огнеупор.)
forestry:slabs.fireproof.2:4, Плита из сосны (Огнеупор.)
forestry:slabs.fireproof.2:5, Плита из сливового дерева (Огнеупор.)
forestry:slabs.fireproof.2:6, Плита из клёна (Огнеупор.)
forestry:slabs.fireproof.2:7, Плита из цитрусового дерева (Огнеупор.)
forestry:slabs.fireproof.3:0, Плита из гигантской секвойи (Огнеупор.)
forestry:slabs.fireproof.3:1, Плита из муравьиного дерева (Огнеупор.)
forestry:slabs.fireproof.3:2, Плита из падука (Огнеупор.)
forestry:slabs.fireproof.3:3, Плита из кокоболо (Огнеупор.)
forestry:slabs.fireproof.3:4, Плита из зебрано (Огнеупор.)
forestry:slabs.vanilla.fireproof.0:0, Дубовая плита (Огнеупор.)
forestry:slabs.vanilla.fireproof.0:1, Еловая плита (Огнеупор.)
forestry:slabs.vanilla.fireproof.0:2, Берёзовая плита (Огнеупор.)
forestry:slabs.vanilla.fireproof.0:3, Плита из тропического дерева (Огнеупор.)
forestry:slabs.vanilla.fireproof.0:4, Акациевая плита (Огнеупор.)
forestry:slabs.vanilla.fireproof.0:5, Плита из тёмного дуба (Огнеупор.)
forestry:fences.0:0, Забор из лиственницы
forestry:fences.0:1, Забор из тикового дерева
forestry:fences.0:2, Забор из акации
forestry:fences.0:3, Забор из липы
forestry:fences.0:4, Забор из каштана
forestry:fences.0:5, Забор из дерева Венге
forestry:fences.0:6, Забор из баобаба
forestry:fences.0:7, Забор из секвойи
forestry:fences.0:8, Забор из хлопкового дерева
forestry:fences.0:9, Забор из мирта
forestry:fences.0:10, Забор из красного дерева
forestry:fences.0:11, Забор из бальзы
forestry:fences.0:12, Забор из ивы
forestry:fences.0:13, Забор из орехового дерева
forestry:fences.0:14, Забор из гринхарта
forestry:fences.0:15, Забор из вишнёвого дерева
forestry:fences.1:0, Забор из гибискуса
forestry:fences.1:1, Забор из тополя
forestry:fences.1:2, Забор из пальмы
forestry:fences.1:3, Забор из дынного дерева
forestry:fences.1:4, Забор из сосны
forestry:fences.1:5, Забор из сливового дерева
forestry:fences.1:6, Забор из клёна
forestry:fences.1:7, Забор из цитрусового дерева
forestry:fences.1:8, Забор из гигантской секвойи
forestry:fences.1:9, Забор из муравьиного дерева
forestry:fences.1:10, Забор из падука
forestry:fences.1:11, Забор из кокоболо
forestry:fences.1:12, Забор из зебрано
forestry:fences.fireproof.0:0, Забор из лиственницы (Огнеупор.)
forestry:fences.fireproof.0:1, Забор из тикового дерева (Огнеупор.)
forestry:fences.fireproof.0:2, Забор из акации (Огнеупор.)
forestry:fences.fireproof.0:3, Забор из липы (Огнеупор.)
forestry:fences.fireproof.0:4, Забор из каштана (Огнеупор.)
forestry:fences.fireproof.0:5, Забор из дерева Венге (Огнеупор.)
forestry:fences.fireproof.0:6, Забор из баобаба (Огнеупор.)
forestry:fences.fireproof.0:7, Забор из секвойи (Огнеупор.)
forestry:fences.fireproof.0:8, Забор из хлопкового дерева (Огнеупор.)
forestry:fences.fireproof.0:9, Забор из мирта (Огнеупор.)
forestry:fences.fireproof.0:10, Забор из красного дерева (Огнеупор.)
forestry:fences.fireproof.0:11, Забор из бальзы (Огнеупор.)
forestry:fences.fireproof.0:12, Забор из ивы (Огнеупор.)
forestry:fences.fireproof.0:13, Забор из орехового дерева (Огнеупор.)
forestry:fences.fireproof.0:14, Забор из гринхарта (Огнеупор.)
forestry:fences.fireproof.0:15, Забор из вишнёвого дерева (Огнеупор.)
forestry:fences.fireproof.1:0, Забор из гибискуса (Огнеупор.)
forestry:fences.fireproof.1:1, Забор из тополя (Огнеупор.)
forestry:fences.fireproof.1:2, Забор из пальмы (Огнеупор.)
forestry:fences.fireproof.1:3, Забор из дынного дерева (Огнеупор.)
forestry:fences.fireproof.1:4, Забор из сосны (Огнеупор.)
forestry:fences.fireproof.1:5, Забор из сливового дерева (Огнеупор.)
forestry:fences.fireproof.1:6, Забор из клёна (Огнеупор.)
forestry:fences.fireproof.1:7, Забор из цитрусового дерева (Огнеупор.)
forestry:fences.fireproof.1:8, Забор из гигантской секвойи (Огнеупор.)
forestry:fences.fireproof.1:9, Забор из муравьиного дерева (Огнеупор.)
forestry:fences.fireproof.1:10, Забор из падука (Огнеупор.)
forestry:fences.fireproof.1:11, Забор из кокоболо (Огнеупор.)
forestry:fences.fireproof.1:12, Забор из зебрано (Огнеупор.)
forestry:fences.vanilla.fireproof.0:0, Дубовый забор (Огнеупор.)
forestry:fences.vanilla.fireproof.0:1, Еловый забор (Огнеупор.)
forestry:fences.vanilla.fireproof.0:2, Берёзовый забор (Огнеупор.)
forestry:fences.vanilla.fireproof.0:3, Забор из тропического дерева (Огнеупор.)
forestry:fences.vanilla.fireproof.0:4, Акациевый забор (Огнеупор.)
forestry:fences.vanilla.fireproof.0:5, Забор из тёмного дуба (Огнеупор.)
forestry:fence.gates.larch:0, Калитка из лиственницы
forestry:fence.gates.fireproof.larch:0, Калитка из лиственницы (Огнеупор.)
forestry:fence.gates.teak:0, Калитка из тикового дерева
forestry:fence.gates.fireproof.teak:0, Калитка из тикового дерева (Огнеупор.)
forestry:fence.gates.acacia:0, Калитка из акации
forestry:fence.gates.fireproof.acacia:0, Калитка из акации (Огнеупор.)
forestry:fence.gates.lime:0, Калитка из липы
forestry:fence.gates.fireproof.lime:0, Калитка из липы (Огнеупор.)
forestry:fence.gates.chestnut:0, Калитка из каштана
forestry:fence.gates.fireproof.chestnut:0, Калитка из каштана (Огнеупор.)
forestry:fence.gates.wenge:0, Калитка из дерева Венге
forestry:fence.gates.fireproof.wenge:0, Калитка из дерева Венге (Огнеупор.)
forestry:fence.gates.baobab:0, Калитка из баобаба
forestry:fence.gates.fireproof.baobab:0, Калитка из баобаба (Огнеупор.)
forestry:fence.gates.sequoia:0, Калитка из секвойи
forestry:fence.gates.fireproof.sequoia:0, Калитка из секвойи (Огнеупор.)
forestry:fence.gates.kapok:0, Калитка из хлопкового дерева
forestry:fence.gates.fireproof.kapok:0, Калитка из хлопкового дерева (Огнеупор.)
forestry:fence.gates.ebony:0, Калитка из мирта
forestry:fence.gates.fireproof.ebony:0, Калитка из мирта (Огнеупор.)
forestry:fence.gates.mahogany:0, Калитка из красного дерева
forestry:fence.gates.fireproof.mahogany:0, Калитка из красного дерева (Огнеупор.)
forestry:fence.gates.balsa:0, Калитка из бальзы
forestry:fence.gates.fireproof.balsa:0, Калитка из бальзы (Огнеупор.)
forestry:fence.gates.willow:0, Калитка из ивы
forestry:fence.gates.fireproof.willow:0, Калитка из ивы (Огнеупор.)
forestry:fence.gates.walnut:0, Калитка из орехового дерева
forestry:fence.gates.fireproof.walnut:0, Калитка из орехового дерева (Огнеупор.)
forestry:fence.gates.greenheart:0, Калитка из гринхарта
forestry:fence.gates.fireproof.greenheart:0, Калитка из гринхарта (Огнеупор.)
forestry:fence.gates.cherry:0, Калитка из вишнёвого дерева
forestry:fence.gates.fireproof.cherry:0, Калитка из вишнёвого дерева (Огнеупор.)
forestry:fence.gates.mahoe:0, Калитка из гибискуса
forestry:fence.gates.fireproof.mahoe:0, Калитка из гибискуса (Огнеупор.)
forestry:fence.gates.poplar:0, Калитка из тополя
forestry:fence.gates.fireproof.poplar:0, Калитка из тополя (Огнеупор.)
forestry:fence.gates.palm:0, Калитка из пальмы
forestry:fence.gates.fireproof.palm:0, Калитка из пальмы (Огнеупор.)
forestry:fence.gates.papaya:0, Калитка из дынного дерева
forestry:fence.gates.fireproof.papaya:0, Калитка из дынного дерева (Огнеупор.)
forestry:fence.gates.pine:0, Калитка из сосны
forestry:fence.gates.fireproof.pine:0, Калитка из сосны (Огнеупор.)
forestry:fence.gates.plum:0, Калитка из сливового дерева
forestry:fence.gates.fireproof.plum:0, Калитка из сливового дерева (Огнеупор.)
forestry:fence.gates.maple:0, Калитка из клёна
forestry:fence.gates.fireproof.maple:0, Калитка из клёна (Огнеупор.)
forestry:fence.gates.citrus:0, Калитка из цитрусового дерева
forestry:fence.gates.fireproof.citrus:0, Калитка из цитрусового дерева (Огнеупор.)
forestry:fence.gates.giganteum:0, Калитка из гигантской секвойи
forestry:fence.gates.fireproof.giganteum:0, Калитка из гигантской секвойи (Огнеупор.)
forestry:fence.gates.ipe:0, Калитка из муравьиного дерева
forestry:fence.gates.fireproof.ipe:0, Калитка из муравьиного дерева (Огнеупор.)
forestry:fence.gates.padauk:0, Калитка из падука
forestry:fence.gates.fireproof.padauk:0, Калитка из падука (Огнеупор.)
forestry:fence.gates.cocobolo:0, Калитка из кокоболо
forestry:fence.gates.fireproof.cocobolo:0, Калитка из кокоболо (Огнеупор.)
forestry:fence.gates.zebrawood:0, Калитка из зебрано
forestry:fence.gates.fireproof.zebrawood:0, Калитка из зебрано (Огнеупор.)
forestry:fence.gates.vanilla.fireproof.oak:0, Дубовая калитка (Огнеупор.)
forestry:fence.gates.vanilla.fireproof.spruce:0, Еловая калитка (Огнеупор.)
forestry:fence.gates.vanilla.fireproof.birch:0, Берёзовая калитка (Огнеупор.)
forestry:fence.gates.vanilla.fireproof.jungle:0, Калитка из тропического дерева (Огнеупор.)
forestry:fence.gates.vanilla.fireproof.acacia:0, Акациевая калитка (Огнеупор.)
forestry:fence.gates.vanilla.fireproof.dark_oak:0, Калитка из тёмного дуба (Огнеупор.)
forestry:stairs.larch:0, Ступеньки из лиственницы
forestry:stairs.teak:0, Ступеньки из тикового дерева
forestry:stairs.acacia:0, Ступеньки из акации
forestry:stairs.lime:0, Ступеньки из липы
forestry:stairs.chestnut:0, Ступеньки из каштана
forestry:stairs.wenge:0, Ступеньки из дерева Венге
forestry:stairs.baobab:0, Ступеньки из баобаба
forestry:stairs.sequoia:0, Ступеньки из секвойи
forestry:stairs.kapok:0, Ступеньки из хлопкового дерева
forestry:stairs.ebony:0, Ступеньки из мирта
forestry:stairs.mahogany:0, Ступеньки из красного дерева
forestry:stairs.balsa:0, Ступеньки из бальзы
forestry:stairs.willow:0, Ступеньки из ивы
forestry:stairs.walnut:0, Ступеньки из орехового дерева
forestry:stairs.greenheart:0, Ступеньки из гринхарта
forestry:stairs.cherry:0, Ступеньки из вишнёвого дерева
forestry:stairs.mahoe:0, Ступеньки из гибискуса
forestry:stairs.poplar:0, Ступеньки из тополя
forestry:stairs.palm:0, Ступеньки из пальмы
forestry:stairs.papaya:0, Ступеньки из дынного дерева
forestry:stairs.pine:0, Ступеньки из сосны
forestry:stairs.plum:0, Ступеньки из сливового дерева
forestry:stairs.maple:0, Ступеньки из клёна
forestry:stairs.citrus:0, Ступеньки из цитрусового дерева
forestry:stairs.giganteum:0, Ступеньки из гигантской секвойи
forestry:stairs.ipe:0, Ступеньки из муравьиного дерева
forestry:stairs.padauk:0, Ступеньки из падука
forestry:stairs.cocobolo:0, Ступеньки из кокоболо
forestry:stairs.zebrawood:0, Ступеньки из зебрано
forestry:stairs.fireproof.larch:0, Ступеньки из лиственницы (Огнеупор.)
forestry:stairs.fireproof.teak:0, Ступеньки из тикового дерева (Огнеупор.)
forestry:stairs.fireproof.acacia:0, Ступеньки из акации (Огнеупор.)
forestry:stairs.fireproof.lime:0, Ступеньки из липы (Огнеупор.)
forestry:stairs.fireproof.chestnut:0, Ступеньки из каштана (Огнеупор.)
forestry:stairs.fireproof.wenge:0, Ступеньки из дерева Венге (Огнеупор.)
forestry:stairs.fireproof.baobab:0, Ступеньки из баобаба (Огнеупор.)
forestry:stairs.fireproof.sequoia:0, Ступеньки из секвойи (Огнеупор.)
forestry:stairs.fireproof.kapok:0, Ступеньки из хлопкового дерева (Огнеупор.)
forestry:stairs.fireproof.ebony:0, Ступеньки из мирта (Огнеупор.)
forestry:stairs.fireproof.mahogany:0, Ступеньки из красного дерева (Огнеупор.)
forestry:stairs.fireproof.balsa:0, Ступеньки из бальзы (Огнеупор.)
forestry:stairs.fireproof.willow:0, Ступеньки из ивы (Огнеупор.)
forestry:stairs.fireproof.walnut:0, Ступеньки из орехового дерева (Огнеупор.)
forestry:stairs.fireproof.greenheart:0, Ступеньки из гринхарта (Огнеупор.)
forestry:stairs.fireproof.cherry:0, Ступеньки из вишнёвого дерева (Огнеупор.)
forestry:stairs.fireproof.mahoe:0, Ступеньки из гибискуса (Огнеупор.)
forestry:stairs.fireproof.poplar:0, Ступеньки из тополя (Огнеупор.)
forestry:stairs.fireproof.palm:0, Ступеньки из пальмы (Огнеупор.)
forestry:stairs.fireproof.papaya:0, Ступеньки из дынного дерева (Огнеупор.)
forestry:stairs.fireproof.pine:0, Ступеньки из сосны (Огнеупор.)
forestry:stairs.fireproof.plum:0, Ступеньки из сливового дерева (Огнеупор.)
forestry:stairs.fireproof.maple:0, Ступеньки из клёна (Огнеупор.)
forestry:stairs.fireproof.citrus:0, Ступеньки из цитрусового дерева (Огнеупор.)
forestry:stairs.fireproof.giganteum:0, Ступеньки из гигантской секвойи (Огнеупор.)
forestry:stairs.fireproof.ipe:0, Ступеньки из муравьиного дерева (Огнеупор.)
forestry:stairs.fireproof.padauk:0, Ступеньки из падука (Огнеупор.)
forestry:stairs.fireproof.cocobolo:0, Ступеньки из кокоболо (Огнеупор.)
forestry:stairs.fireproof.zebrawood:0, Ступеньки из зебрано (Огнеупор.)
forestry:stairs.vanilla.fireproof.oak:0, Дубовые ступеньки (Огнеупор.)
forestry:stairs.vanilla.fireproof.spruce:0, Еловые ступеньки (Огнеупор.)
forestry:stairs.vanilla.fireproof.birch:0, Берёзовые ступеньки (Огнеупор.)
forestry:stairs.vanilla.fireproof.jungle:0, Ступеньки из тропического дерева (Огнеупор.)
forestry:stairs.vanilla.fireproof.acacia:0, Акациевые ступеньки (Огнеупор.)
forestry:stairs.vanilla.fireproof.dark_oak:0, Ступеньки из тёмного дуба (Огнеупор.)
forestry:doors.larch:0, Дверь из лиственницы
forestry:doors.teak:0, Дверь из тикового дерева
forestry:doors.acacia:0, Дверь из акации
forestry:doors.lime:0, Дверь из липы
forestry:doors.chestnut:0, Дверь из каштана
forestry:doors.wenge:0, Дверь из дерева Венге
forestry:doors.baobab:0, Дверь из баобаба
forestry:doors.sequoia:0, Дверь из секвойи
forestry:doors.kapok:0, Дверь из хлопкового дерева
forestry:doors.ebony:0, Дверь из мирта
forestry:doors.mahogany:0, Дверь из красного дерева
forestry:doors.balsa:0, Дверь из бальзы
forestry:doors.willow:0, Дверь из ивы
forestry:doors.walnut:0, Дверь из орехового дерева
forestry:doors.greenheart:0, Дверь из гринхарта
forestry:doors.cherry:0, Дверь из вишнёвого дерева
forestry:doors.mahoe:0, Дверь из гибискуса
forestry:doors.poplar:0, Дверь из тополя
forestry:doors.palm:0, Дверь из пальмы
forestry:doors.papaya:0, Дверь из дынного дерева
forestry:doors.pine:0, Дверь из сосны
forestry:doors.plum:0, Дверь из сливового дерева
forestry:doors.maple:0, Дверь из клёна
forestry:doors.citrus:0, Дверь из цитрусового дерева
